(0.13831858789850845,-0.14714910114848168) (-0.06649823453555123,0.0017723519825291294) (-0.07222774883885054,-0.04544969222394602) (1.5609479042552932,-2.579289445846313) 
(0.34762478194619467,-0.2927196435066203) (-0.03390768506578593,-0.032898838153751594) (-0.08011361132376274,-0.04789436073113545) (1.5549319672155588,-2.582919413345442) 
(0.3444022443255332,-0.19703496016103347) (0.04799947452180763,-0.10186927927388899) (-0.07900684476798842,-0.05847902392235543) (1.5485991140936848,-2.5870257789998754) 
(0.11686801548336107,0.06125692033013306) (0.12914734157077717,-0.14829454802455921) (-0.06509376636690624,-0.07812684497322316) (1.5428568695203444,-2.592342549860539) 
(-0.11879596540949974,0.2634653457328903) (0.15668371898693845,-0.1338612262077581) (-0.0426446473665088,-0.10028730766062788) (1.5385976822033596,-2.599363695914897) 
(-0.2099350603983132,0.33727565684165856) (0.12869307907144412,-0.07178366661051344) (-0.020231206059378958,-0.11643861977378137) (1.5361573299364413,-2.607938324116132) 
(-0.1678937781251799,0.32845360785091526) (0.07922829581057389,0.007685037822118566) (-0.0039010994630380353,-0.1214729143064514) (1.535260510456583,-2.617362788698997) 
(-0.04511628749231102,0.23366995923899445) (0.03966925631496142,0.08507509593233264) (0.005437092444146734,-0.11418755043772677) (1.5353614987672246,-2.6266967169731585) 
(0.07341215127246119,0.07896652690708877) (0.02903898151422985,0.1401322829805722) (0.010833424824278914,-0.09649980425955194) (1.5360113692994568,-2.6350269934462993) 
(0.08472418103458176,-0.03716997760526271) (0.046336312148363874,0.15873833254138353) (0.016753386545093354,-0.07302656100711108) (1.5370769177433656,-2.641703406820676) 
(-0.021478100922844377,-0.06469875080803986) (0.06629897700233792,0.1499803628979741) (0.025599741468363527,-0.04877985136665829) (1.5387195978989838,-2.646477729522456) 
(-0.1452046715484439,-0.039456411210035375) (0.06123831869691771,0.13473607888035136) (0.03561649724905083,-0.02641827432048293) (1.5411287567527012,-2.649415080611421) 
(-0.16284683867053348,-0.03245907888001791) (0.02702527399165456,0.12543938101076657) (0.04254870360829732,-0.0059841414845259455) (1.5442334708891778,-2.650677962720169) 
(-0.062154372937577924,-0.0782526624029355) (-0.011344608410420443,0.11779139072938502) (0.04378026020313239,0.013119158656119947) (1.547663048824643,-2.650389908476202) 
(0.04876461848062736,-0.13144159417653473) (-0.025989387516108128,0.099353541529717) (0.04084805501983402,0.030173681754856164) (1.5510014510520527,-2.6486708469549325) 
(0.05746599760029848,-0.13771626973422343) (-0.014499494978068694,0.06838334553163267) (0.0376680656249398,0.04334770605805505) (1.55407295932734,-2.645751828850464) 
(-0.016267254844300114,-0.09510269964405016) (-0.0009593882861453256,0.03593471393587014) (0.036453927772550854,0.05154082728955135) (1.5569698028371983,-2.6419922049473206) 
(-0.07771561536956735,-0.04955874171474063) (-0.004792269909614526,0.013526668245497206) (0.03600219359420687,0.05542551516198588) (1.559819088593089,-2.637768609153402) 
(-0.05468908198601573,-0.029018065523241973) (-0.02310358038318236,0.001849664828582942) (0.03381125863556956,0.05663316953760291) (1.5625794820126782,-2.633356069957663) 
(0.02300365571132433,-0.02750666607593175) (-0.035989391748095075,-0.004987555781607785) (0.029170107457409385,0.05638672015845822) (1.5650660021693708,-2.6289107600322392) 
(0.0720014901016905,-0.017427206121083214) (-0.03056928306396454,-0.011468661286774361) (0.023942601361853413,0.05509425189226048) (1.5671461610414685,-2.6245262493775967) 
(0.051934928953474985,0.025616845314709823) (-0.01360433163764014,-0.015574849990968) (0.020473213776126716,0.05297025948332473) (1.5688729246316373,-2.6202783444334026) 
(0.011638912727686855,0.09786150477733781) (-0.0013674522927692228,-0.00953902301230497) (0.019297332615954017,0.05099782051006798) (1.5704221297990035,-2.616201732815351) 
(0.019514068175033206,0.14810814181446402) (0.0013749019113114729,0.013519050823524743) (0.019297917707626115,0.05131041116338826) (1.5719349423650952,-2.6122078035844924) 
(0.06707169505329577,0.10221624029328905) (0.005972795902836517,0.0484162095931112) (0.01987500454446924,0.05617479514146509) (1.5734685324043916,-2.6080227466065913) 
(0.07490361426077004,-0.05535098530887756) (0.0217761917360804,0.07250034381183329) (0.022054404937243605,0.0656715590383244) (1.5750988492492441,-2.6032626119751465) 
(-0.01077451120386355,-0.21805168536130337) (0.03942494005775271,0.059458575150684166) (0.026861130588115747,0.07603558829803177) (1.5770016134453104,-2.5976843772812566) 
(-0.17035792778515138,-0.26854958815463315) (0.036886255664446865,0.008081357188138698) (0.03285459788480362,0.08134016217952168) (1.5793492545990162,-2.5914514259267842) 
(-0.2872167240726483,-0.2363618798968638) (-0.0032533854163485955,-0.055194148807198765) (0.035496117337067694,0.07763993217850802) (1.5820746478235272,-2.5851432396983762) 
(-0.18595586444562454,-0.026183624598965255) (-0.07092723169145525,-0.11088560471764815) (0.029669985293451884,0.06459605883891655) (1.584703289074099,-2.579500389909509) 
(0.06686693808324766,0.2599070155122916) (-0.11474205001402853,-0.11705497591898265) (0.01508755400837083,0.04669364749934076) (1.5865059588369483,-2.575123710730816) 
